------------------------------------------------------------------------------------
Date: 3/26/2026 -- 23:25:22 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 32
decoder.bytes                                 | Total                     | 4809
decoder.ipv4                                  | Total                     | 28
decoder.ethernet                              | Total                     | 32
decoder.arp                                   | Total                     | 4
decoder.tcp                                   | Total                     | 20
tcp.syn                                       | Total                     | 2
tcp.synack                                    | Total                     | 2
decoder.icmpv4                                | Total                     | 8
decoder.avg_pkt_size                          | Total                     | 150
decoder.max_pkt_size                          | Total                     | 2003
flow.total                                    | Total                     | 3
flow.tcp                                      | Total                     | 2
flow.icmpv4                                   | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 2
tcp.invalid_checksum                          | Total                     | 20
detect.alert                                  | Total                     | 2
flow.end.state.new                            | Total                     | 2
flow.end.state.established                    | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9800
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 3
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 4980736
tcp.reassembly_memuse                         | Total                     | 917504
flow.memuse                                   | Total                     | 9331456
