------------------------------------------------------------------------------------
Date: 3/26/2026 -- 23:26:04 (uptime: 0d, 00h 00m 01s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 104
decoder.bytes                                 | Total                     | 13078
decoder.ipv4                                  | Total                     | 100
decoder.ethernet                              | Total                     | 104
decoder.arp                                   | Total                     | 4
decoder.tcp                                   | Total                     | 100
tcp.syn                                       | Total                     | 10
tcp.synack                                    | Total                     | 10
decoder.avg_pkt_size                          | Total                     | 125
decoder.max_pkt_size                          | Total                     | 489
flow.total                                    | Total                     | 10
flow.tcp                                      | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 6
tcp.invalid_checksum                          | Total                     | 100
flow.end.state.new                            | Total                     | 10
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9400
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 10
flow.recycler.queue_max                       | Total                     | 10
tcp.memuse                                    | Total                     | 4980736
tcp.reassembly_memuse                         | Total                     | 917504
flow.memuse                                   | Total                     | 9331456
