------------------------------------------------------------------------------------
Date: 3/26/2026 -- 23:26:15 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1
decoder.bytes                                 | Total                     | 74
decoder.ipv4                                  | Total                     | 1
decoder.ethernet                              | Total                     | 1
decoder.tcp                                   | Total                     | 1
tcp.syn                                       | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 74
decoder.max_pkt_size                          | Total                     | 74
flow.total                                    | Total                     | 1
flow.tcp                                      | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
tcp.invalid_checksum                          | Total                     | 1
flow.end.state.new                            | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9900
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 1
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4980736
tcp.reassembly_memuse                         | Total                     | 917504
flow.memuse                                   | Total                     | 9331456
